state,n,percent
Florida,278,0.15931232091690545
California,243,0.13925501432664755
New York,239,0.13696275071633238
New Jersey,233,0.1335243553008596
Texas,85,0.04871060171919771
Virginia,75,0.04297994269340974
Maryland,68,0.03896848137535817
Connecticut,63,0.03610315186246418
Georgia,46,0.026361031518624643
Pennsylvania,45,0.025787965616045846
North Carolina,41,0.02349570200573066
Massachusetts,35,0.02005730659025788
Illinois,30,0.017191977077363897
Colorado,26,0.01489971346704871
Ohio,22,0.012607449856733524
Utah,19,0.010888252148997135
Nevada,17,0.009742120343839542
Washington,14,0.008022922636103151
Arizona,13,0.007449856733524355
Michigan,13,0.007449856733524355
Minnesota,13,0.007449856733524355
South Carolina,13,0.007449856733524355
Indiana,11,0.006303724928366762
District of Columbia,10,0.0057306590257879654
Kansas,9,0.005157593123209169
Oklahoma,9,0.005157593123209169
Kentucky,7,0.0040114613180515755
Alabama,6,0.0034383954154727794
Idaho,6,0.0034383954154727794
Louisiana,6,0.0034383954154727794
Missouri,6,0.0034383954154727794
Oregon,6,0.0034383954154727794
Tennessee,6,0.0034383954154727794
Wisconsin,6,0.0034383954154727794
Nebraska,4,0.002292263610315186
New Mexico,4,0.002292263610315186
Rhode Island,3,0.0017191977077363897
West Virginia,3,0.0017191977077363897
Arkansas,2,0.001146131805157593
Delaware,2,0.001146131805157593
Alaska,1,5.730659025787965e-4
Hawaii,1,5.730659025787965e-4
Iowa,1,5.730659025787965e-4
Mississippi,1,5.730659025787965e-4
New Hampshire,1,5.730659025787965e-4
Puerto Rico,1,5.730659025787965e-4
Vermont,1,5.730659025787965e-4
Wyoming,1,5.730659025787965e-4
