informed,voted,n,percent
Not at all informed,No,337,0.9157608695652174
Not at all informed,Prefer not to say,7,0.019021739130434784
Not at all informed,Yes,24,0.06521739130434782
Not sure,No,9,0.8181818181818182
Not sure,Prefer not to say,1,0.09090909090909091
Not sure,Yes,1,0.09090909090909091
Not very informed,No,524,0.8264984227129337
Not very informed,Prefer not to say,19,0.02996845425867508
Not very informed,Yes,91,0.14353312302839116
Somewhat informed,No,452,0.6869300911854104
Somewhat informed,Prefer not to say,31,0.04711246200607903
Somewhat informed,Yes,175,0.26595744680851063
Very informed,No,68,0.4121212121212121
Very informed,Prefer not to say,5,0.030303030303030304
Very informed,Yes,92,0.5575757575757576
