ease_vote,voted,n,percent
Neither easy nor difficult,No,190,0.7983193277310925
Neither easy nor difficult,Yes,48,0.20168067226890757
Not Sure,No,710,0.9971910112359551
Not Sure,Yes,2,0.0028089887640449437
Somewhat difficult,No,175,0.7954545454545454
Somewhat difficult,Yes,45,0.20454545454545456
Somewhat easy,No,57,0.36075949367088606
Somewhat easy,Yes,101,0.6392405063291139
Very difficult,No,185,0.9068627450980392
Very difficult,Yes,19,0.09313725490196079
Very easy,No,36,0.18181818181818182
Very easy,Yes,162,0.8181818181818182
